nlopt_optimizer,fitness_fn,distance_type,noise_type,noise_value,s_fu,s_fv,s_cx,s_cy,s_tx,s_ty,s_tz,s_rx,s_ry,s_rz,s_d0,s_d1,s_d2,s_d3,s_d4,t_fu,t_fv,t_cx,t_cy,t_tx,t_ty,t_tz,t_rx,t_ry,t_rz,t_d0,t_d1,t_d2,t_d3,t_d4,r_fu,r_fv,r_cx,r_cy,r_tx,r_ty,r_tz,r_rx,r_ry,r_rz,r_d0,r_d1,r_d2,r_d3,r_d4,best_fitness,duration_in_s,mean_fitting_reproj_error_col,mean_fitting_reproj_error_row,mean_fitting_reproj_error,mean_dense_reproj_error_col,mean_dense_reproj_error_row,mean_dense_reproj_error,mean_y0_reproj_error_col,mean_y0_reproj_error_row,mean_y0_reproj_error
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,410.0,290.0,0.0,2.35,8.4,0.2799999999999999,0.0,0.01,0.0,0.1,0.0,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.3624432266827,748.5777375203359,402.0762150100051,289.0311571803112,-0.0307441376015146,2.343863217054537,8.724072412590084,0.2568623876523548,-0.0113481716810958,0.0093803592196937,-0.1668318578483818,0.2079839160873543,0.0198612623439436,0.0107461039031542,4.235455576739611,12671.59375,1.3838615130000562,2.2287056217650263,2.294581857097868,3.5979844555882776,1.987767368058161,4.496935473501023,5.222894316119575,1.7541671032707338,1.3858133139249256,2.597713627551854
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,710.0,400.0,300.0,0.0,2.45,8.5,0.2799999999999999,0.0,0.0,-0.1,0.0,0.0,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.9884246839258,720.0304804544695,397.6383099849861,299.64986712241364,-0.0007692280315279,2.4500391515896704,8.56387550851916,0.3057067832544033,-0.0012157924417347,-0.0007615133932352,-0.6939609997751706,2.277114203746012,-0.0100888710302046,0.0099786251034341,0.2478361757785255,12144.44921875,1.3565539610000314,2.9812828671102665,2.0605131823560585,4.038270826623864,3.1605033683680217,3.386985113311014,5.229332004841258,3.042398180362166,1.3714289208766874,3.603848004587224
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,410.0,300.0,0.1,2.45,8.4,0.29,-0.01,0.0,0.0,-0.1,0.025,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0147725044735,690.164097476008,397.5509406564945,293.39505272819383,0.0970789801357511,2.425763104651141,8.357327009387603,0.2885084352676907,-0.0211403909046717,0.0138218761411976,-0.0073120028442565,-0.0882116041949884,0.0251075542073606,-7.036588277707718e-05,-1.7000649525523914,11921.2177734375,1.741838869999924,4.407587750546411,2.107507052651348,5.117625870039805,3.8516996787379103,2.3609969316367465,4.889754951960596,4.037293797659712,1.9419686726754928,4.595813199843193
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,710.0,390.0,310.0,-0.1,2.35,8.3,0.29,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.756445666416,22.028459701742165,395.7390971587107,309.9969262466785,0.0234170495902232,5.143082965046833,6.287448830895064,0.3091594102873858,0.0006317577780285,0.0004485075235275,-0.2874693411872987,0.3040855116121453,-1.5359552694027023e-05,0.0001340112835602,0.0012974219155996,9274.9541015625,1.75490387800005,349.5716423463673,84.25446104054653,371.982487025727,239.88275960963247,99.00429321354008,274.3351188414724,216.6361363537336,56.929353507486766,230.71570044020075
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,400.0,300.0,0.1,2.25,8.4,0.2799999999999999,0.0,0.0,-0.1,-0.1,-0.025,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.3121348209297,702.6405323444627,387.9640176728838,299.6474089730588,0.0995991212224257,2.251499705229831,7.860471731501111,0.2697724536125093,0.0212484540470897,-0.0015061372364558,-0.0957343909904367,-0.1354253471158041,-0.024286007122052,0.001026358998577,0.9960145900828236,12094.5771484375,1.489659352999979,1.85332378711443,2.995972904427696,3.931462576187727,1.400011374579347,6.535771359622276,6.887795455785725,1.5080255557789024,1.548817082041306,2.4150549755447663
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,390.0,290.0,0.0,2.35,8.3,0.3,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.7762107305629,697.8909535816024,401.64356319839055,288.2814780238507,-0.0231530169661537,2.343808551990952,8.124951228140194,0.2533406397927645,0.0012015100279489,9.605502177238896e-05,0.1034629752712965,-0.2012242362444559,-0.000133776649429,-0.0001865868893194,2.19596606408282,12263.7197265625,1.9513111740000115,3.626576303578804,3.0958593660518288,5.507533139334502,2.948211593478006,5.398371207804955,6.75032058611476,2.3812209361736807,1.9807878901482128,3.4793781160343
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,400.0,290.0,0.1,2.25,8.4,0.2799999999999999,0.01,0.01,0.0,0.0,0.0,0.0,-0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.3740273016685,826.122907316937,392.663596672029,291.1375206868004,0.2089115983583586,2.3129676505356387,9.017377953271277,0.2800980751709656,0.0433358263790409,-0.0052941842125049,-0.0447327536485245,0.2197319483702453,-0.0289074737341637,-0.0001296098368563,-1.0836847092374668,6643.13671875,3.3240143660000285,20.70283664969521,9.640754008508924,25.73637696172507,15.938732071465264,19.084578150277903,27.19351395284312,15.792185116476835,3.8389066929009417,16.894561166348268
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,710.0,700.0,400.0,300.0,0.1,2.35,8.5,0.29,-0.01,0.0,0.0,-0.1,0.025,0.0,-0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.5328445470388,709.3495117561145,396.9308871810806,297.86888371705663,0.1013605164522665,2.34678932514102,8.533948972913596,0.288969070738888,-0.0141558542829249,0.0040914202022522,-0.0144019978636914,-0.0939332363539811,0.0250095487370589,-0.0028083533831847,-0.5295039753137578,12898.3662109375,1.8950776819999648,3.3439489109551968,1.086286504697699,3.6774309619128815,2.7834372148085214,1.4426749889562749,3.3589999031376587,2.8512282247070715,1.1643179179220142,3.2204788250432435
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,710.0,690.0,400.0,300.0,-0.1,2.35,8.5,0.29,0.0,0.0,0.0,0.0,0.025,0.01,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.6135675895487,696.6536235301442,402.4141741018051,298.7971723535093,-0.0998884980691507,2.3464578470396207,8.508260671036739,0.2871835281969077,0.0002241468604804,-0.0029598323530608,0.5763414072693678,-3.284906590116868,0.0160747365296751,0.0211282590387947,0.7703005954774882,13116.494140625,2.0414055809999354,2.8774736455301944,1.3562238186189033,3.313121538778034,2.8789786620561726,0.9969427969782368,3.2343296437104696,2.6166749953502864,0.8313131278230375,2.867023650290275
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,400.0,310.0,-0.1,2.25,8.4,0.29,0.0,0.01,0.0,0.0,0.025,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.786477173313,684.4893342673165,401.0803843956534,305.3831461014508,-0.0956218033014122,2.279601360186485,8.294616681007593,0.2930912033569901,-0.0002200924670042,0.0083215831085968,0.5821555713599083,-2.831297934355045,-0.0080554510447477,0.023827343959185,-0.4983896036402176,12298.2080078125,2.860540690999983,3.3129174988960712,2.2618119022596725,4.371781713648762,2.88455021049316,1.7532672527858129,3.633375712985412,2.96289567362157,1.5693694917583123,3.6823296594586807
